Wall Time,Step,Accuracy,Zone,Run
1550136727,40105,0.881799996,us-central1-c,7
1550136803,44113,0.881900012,us-central1-c,7
1550136940,48122,0.879700005,us-central1-c,7
1550137077,52137,0.88380003,us-central1-c,7
1550137155,56137,0.882399976,us-central1-c,7
1550137292,60144,0.882600009,us-central1-c,7
1550137369,64014,0.882700026,us-central1-c,7
1550137987,0,0.096000001,us-central1-c,8
1550138124,4021,0.357899994,us-central1-c,8
1550138202,8033,0.517099977,us-central1-c,8
1550138339,12034,0.360000014,us-central1-c,8
1550138415,16046,0.598399997,us-central1-c,8
1550138553,20060,0.763100028,us-central1-c,8
1550138690,24063,0.712800026,us-central1-c,8
1550138768,28074,0.659300029,us-central1-c,8
1550138906,32092,0.85769999,us-central1-c,8
1550138984,36098,0.870800018,us-central1-c,8
1550139121,40109,0.871200025,us-central1-c,8
1550139259,44112,0.873199999,us-central1-c,8
1550139335,48118,0.873099983,us-central1-c,8
1550139473,52119,0.874000013,us-central1-c,8
1550139550,56135,0.875699997,us-central1-c,8
1550139688,60144,0.87529999,us-central1-c,8
1550139766,64010,0.875100017,us-central1-c,8
1550163132,0,0.100000001,us-central1-c,9
1550163270,4021,0.42840001,us-central1-c,9
1550163346,8026,0.52609998,us-central1-c,9
1550163483,12029,0.681299984,us-central1-c,9
1550163621,16042,0.720700026,us-central1-c,9
1550163698,20057,0.815500021,us-central1-c,9
1550163835,24069,0.801699996,us-central1-c,9
1550163912,28074,0.824100018,us-central1-c,9
1550164049,32075,0.880400002,us-central1-c,9
1550164186,36090,0.886500001,us-central1-c,9
1550164263,40100,0.886399984,us-central1-c,9
1550164401,44111,0.885800004,us-central1-c,9
1550164477,48115,0.888899982,us-central1-c,9
1550164614,52123,0.889500022,us-central1-c,9
1550164751,56130,0.888199985,us-central1-c,9
1550164829,60137,0.888999999,us-central1-c,9
1550164967,64011,0.887700021,us-central1-c,9
1550115333,0,0.101400003,us-west1-b,1
1550115469,4020,0.428299993,us-west1-b,1
1550115607,8027,0.569599986,us-west1-b,1
1550115685,12030,0.772300005,us-west1-b,1
1550115823,16038,0.780300021,us-west1-b,1
1550115960,20046,0.833100021,us-west1-b,1
1550116038,24056,0.841099977,us-west1-b,1
1550116177,28064,0.840799987,us-west1-b,1
1550116253,32071,0.881500006,us-west1-b,1
1550116390,36079,0.90109998,us-west1-b,1
1550116468,40095,0.898500025,us-west1-b,1
1550116606,44096,0.900900006,us-west1-b,1
1550116744,48101,0.899200022,us-west1-b,1
1550116881,52110,0.901300013,us-west1-b,1
1550116959,56120,0.90109998,us-west1-b,1
1550117097,60124,0.901199996,us-west1-b,1
1550117234,64011,0.90109998,us-west1-b,1
1550122916,0,0.098999999,us-west1-b,2
1550123054,4018,0.397399992,us-west1-b,2
1550123130,8026,0.570100009,us-west1-b,2
1550123268,12032,0.6954,us-west1-b,2
1550123404,16046,0.727599978,us-west1-b,2
1550123482,20053,0.809000015,us-west1-b,2
1550123618,24067,0.836499989,us-west1-b,2
1550123695,28073,0.814599991,us-west1-b,2
1550123832,32080,0.885599971,us-west1-b,2
1550123909,36087,0.890900016,us-west1-b,2
1550124046,40096,0.886399984,us-west1-b,2
1550124184,44099,0.890200019,us-west1-b,2
1550124261,48106,0.887799978,us-west1-b,2
1550124397,52113,0.891799986,us-west1-b,2
1550124475,56118,0.890999973,us-west1-b,2
1550124612,60126,0.892199993,us-west1-b,2
1550124689,64012,0.889500022,us-west1-b,2
1550125530,0,0.100000001,us-west1-b,3
1550125667,4026,0.381900012,us-west1-b,3
1550125746,8032,0.54519999,us-west1-b,3
1550125883,12038,0.729200006,us-west1-b,3
1550126021,16051,0.783299983,us-west1-b,3
1550126098,20056,0.812699974,us-west1-b,3
1550126236,24066,0.795599997,us-west1-b,3
1550126313,28075,0.794399977,us-west1-b,3
1550126451,32082,0.879499972,us-west1-b,3
1550126527,36092,0.891200006,us-west1-b,3
1550126665,40101,0.891700029,us-west1-b,3
1550126803,44113,0.888199985,us-west1-b,3
1550126881,48120,0.891099989,us-west1-b,3
1550127019,52127,0.890999973,us-west1-b,3
1550127096,56136,0.890399992,us-west1-b,3
1550127233,60140,0.890699983,us-west1-b,3
1550127309,64010,0.891099989,us-west1-b,3
1550127968,0,0.0933,us-west1-b,4
1550128106,4021,0.331099987,us-west1-b,4
1550128243,8032,0.440699995,us-west1-b,4
1550128382,12043,0.495299995,us-west1-b,4
1550128459,16055,0.583599985,us-west1-b,4
1550128597,20059,0.673200011,us-west1-b,4
1550128674,24069,0.711899996,us-west1-b,4
1550128812,28081,0.781599998,us-west1-b,4
1550128890,32091,0.874199986,us-west1-b,4
1550129027,36091,0.890299976,us-west1-b,4
1550129164,40106,0.89139998,us-west1-b,4
1550129242,44114,0.890200019,us-west1-b,4
1550129379,48117,0.890900016,us-west1-b,4
1550129456,52127,0.89200002,us-west1-b,4
1550129593,56133,0.891200006,us-west1-b,4
1550129731,60144,0.892199993,us-west1-b,4
1550129808,64013,0.89349997,us-west1-b,4
1550130438,0,0.101800002,us-west1-b,5
1550130575,4023,0.378300011,us-west1-b,5
1550130713,8035,0.44569999,us-west1-b,5
1550130850,12047,0.543900013,us-west1-b,5
1550130928,16057,0.753199995,us-west1-b,5
1550131066,20070,0.803600013,us-west1-b,5
1550131143,24074,0.822099984,us-west1-b,5
1550131281,28083,0.832400024,us-west1-b,5
1550131358,32088,0.89380002,us-west1-b,5
1550131494,36098,0.902800024,us-west1-b,5
1550131632,40105,0.903900027,us-west1-b,5
1550131709,44117,0.904699981,us-west1-b,5
1550131846,48117,0.902100027,us-west1-b,5
1550131923,52128,0.907400012,us-west1-b,5
1550132061,56136,0.905799985,us-west1-b,5
1550132138,60149,0.904399991,us-west1-b,5
1550132276,64011,0.905600011,us-west1-b,5
1550133578,0,0.100000001,us-west1-b,6
1550133716,4017,0.335000008,us-west1-b,6
1550133854,8027,0.382800013,us-west1-b,6
1550133931,12041,0.533500016,us-west1-b,6
1550134068,16055,0.694999993,us-west1-b,6
1550134206,20060,0.735300004,us-west1-b,6
1550134284,24070,0.758700013,us-west1-b,6
1550134422,28077,0.786000013,us-west1-b,6
1550134499,32082,0.861199975,us-west1-b,6
1550134637,36090,0.882300019,us-west1-b,6
1550134715,40094,0.880999982,us-west1-b,6
1550134853,44101,0.879199982,us-west1-b,6
1550134990,48110,0.882200003,us-west1-b,6
1550135067,52121,0.885200024,us-west1-b,6
1550135205,56125,0.882099986,us-west1-b,6
1550135282,60134,0.885299981,us-west1-b,6
1550135419,64010,0.882300019,us-west1-b,6
1550133764,0,0.100000001,us-west1-b,7
1550133902,4018,0.318500012,us-west1-b,7
1550134040,8029,0.388399988,us-west1-b,7
1550134117,12044,0.555100024,us-west1-b,7
1550134255,16046,0.666000009,us-west1-b,7
1550134392,20061,0.657000005,us-west1-b,7
1550134469,24070,0.703999996,us-west1-b,7
1550134607,28082,0.779999971,us-west1-b,7
1550134685,32086,0.852900028,us-west1-b,7
1550134823,36092,0.866599977,us-west1-b,7
1550134900,40107,0.867900014,us-west1-b,7
1550135038,44117,0.865499973,us-west1-b,7
1550135175,48121,0.867799997,us-west1-b,7
1550135252,52133,0.867200017,us-west1-b,7
1550135389,56138,0.868300021,us-west1-b,7
1550135467,60148,0.867299974,us-west1-b,7
1550135605,64010,0.868799984,us-west1-b,7
1550155313,0,0.094300002,us-west1-b,8
1550155390,4025,0.347600013,us-west1-b,8
1550155528,8034,0.435200006,us-west1-b,8
1550155667,12042,0.504700005,us-west1-b,8
1550155744,16058,0.673900008,us-west1-b,8
